epoch,loss,lr,accuracy
0,0.320908,0.010000,0.8591
1000,0.080626,0.010000,0.9699
2000,0.079874,0.010000,0.9702
3000,0.079597,0.010000,0.9706
4000,0.079381,0.010000,0.9704
5000,0.079283,0.010000,0.9705
6000,0.079205,0.010000,0.9705
7000,0.079133,0.010000,0.9704
8000,0.079094,0.010000,0.9704
9000,0.079065,0.010000,0.9704
10000,0.079040,0.010000,0.9704
11000,0.079022,0.010000,0.9704
12000,0.078997,0.010000,0.9704
13000,0.078981,0.010000,0.9704
14000,0.078961,0.010000,0.9704
15000,0.078945,0.010000,0.9704
16000,0.078926,0.010000,0.9704
17000,0.078917,0.010000,0.9704
18000,0.078910,0.010000,0.9704
19000,0.078904,0.010000,0.9703
