epoch,loss,lr,accuracy
0,0.320908,0.010000,0.8591
1000,0.192250,0.000000,0.9287
2000,0.192250,0.000000,0.9287
3000,0.192250,0.000000,0.9287
4000,0.192250,0.000000,0.9287
5000,0.192250,0.000000,0.9287
6000,0.192250,0.000000,0.9287
7000,0.192250,0.000000,0.9287
8000,0.192250,0.000000,0.9287
9000,0.192250,0.000000,0.9287
10000,0.192250,0.000000,0.9287
11000,0.192250,0.000000,0.9287
12000,0.192250,0.000000,0.9287
13000,0.192250,0.000000,0.9287
14000,0.192250,0.000000,0.9287
15000,0.192250,0.000000,0.9287
16000,0.192250,0.000000,0.9287
17000,0.192250,0.000000,0.9287
18000,0.192250,0.000000,0.9287
19000,0.192250,0.000000,0.9287
