epoch,loss,lr,accuracy
0,0.375939,0.009696,0.8392
1000,0.091034,0.000309,0.9672
2000,0.088062,0.000157,0.9671
3000,0.086982,0.000105,0.9674
4000,0.086397,0.000079,0.9675
5000,0.086021,0.000063,0.9679
6000,0.085749,0.000053,0.9678
7000,0.085537,0.000045,0.9678
8000,0.085369,0.000040,0.9678
9000,0.085232,0.000035,0.9680
10000,0.085116,0.000032,0.9680
11000,0.085016,0.000029,0.9681
12000,0.084931,0.000027,0.9683
13000,0.084856,0.000025,0.9684
14000,0.084791,0.000023,0.9684
15000,0.084732,0.000021,0.9684
16000,0.084679,0.000020,0.9684
17000,0.084630,0.000019,0.9687
18000,0.084586,0.000018,0.9687
19000,0.084545,0.000017,0.9687
