epoch,loss,lr,accuracy
0,0.323929,0.010000,0.8560
1000,0.081943,0.010000,0.9698
2000,0.080474,0.010000,0.9706
3000,0.080002,0.010000,0.9703
4000,0.079741,0.010000,0.9703
5000,0.079570,0.010000,0.9701
6000,0.079454,0.010000,0.9703
7000,0.079372,0.010000,0.9701
8000,0.079310,0.010000,0.9701
9000,0.079262,0.010000,0.9701
10000,0.079224,0.010000,0.9700
11000,0.079191,0.010000,0.9700
12000,0.079164,0.010000,0.9701
13000,0.079141,0.010000,0.9701
14000,0.079120,0.010000,0.9701
15000,0.079102,0.010000,0.9701
16000,0.079087,0.010000,0.9701
17000,0.079073,0.010000,0.9701
18000,0.079060,0.010000,0.9701
19000,0.079049,0.010000,0.9700
