epoch,loss,lr,accuracy
0,0.323980,0.009961,0.8560
1000,0.099483,0.000192,0.9654
2000,0.098748,0.000004,0.9657
3000,0.098734,0.000000,0.9656
4000,0.098734,0.000000,0.9656
5000,0.098734,0.000000,0.9656
6000,0.098734,0.000000,0.9656
7000,0.098734,0.000000,0.9656
8000,0.098734,0.000000,0.9656
9000,0.098734,0.000000,0.9656
10000,0.098734,0.000000,0.9656
11000,0.098734,0.000000,0.9656
12000,0.098734,0.000000,0.9656
13000,0.098734,0.000000,0.9656
14000,0.098734,0.000000,0.9656
15000,0.098734,0.000000,0.9656
16000,0.098734,0.000000,0.9656
17000,0.098734,0.000000,0.9656
18000,0.098734,0.000000,0.9656
19000,0.098734,0.000000,0.9656
