epoch,loss,lr,accuracy
0,0.347969,0.010000,0.8519
1000,0.209773,0.000000,0.9149
2000,0.209773,0.000000,0.9149
3000,0.209773,0.000000,0.9149
4000,0.209773,0.000000,0.9149
5000,0.209773,0.000000,0.9149
6000,0.209773,0.000000,0.9149
7000,0.209773,0.000000,0.9149
8000,0.209773,0.000000,0.9149
9000,0.209773,0.000000,0.9149
10000,0.209773,0.000000,0.9149
11000,0.209773,0.000000,0.9149
12000,0.209773,0.000000,0.9149
13000,0.209773,0.000000,0.9149
14000,0.209773,0.000000,0.9149
15000,0.209773,0.000000,0.9149
16000,0.209773,0.000000,0.9149
17000,0.209773,0.000000,0.9149
18000,0.209773,0.000000,0.9149
19000,0.209773,0.000000,0.9149
