epoch,loss,lr,accuracy
0,0.324032,0.009922,0.8559
1000,0.095646,0.001123,0.9662
2000,0.089506,0.000595,0.9687
3000,0.087517,0.000405,0.9688
4000,0.086502,0.000307,0.9687
5000,0.085874,0.000247,0.9690
6000,0.085440,0.000207,0.9691
7000,0.085118,0.000178,0.9691
8000,0.084867,0.000156,0.9690
9000,0.084665,0.000139,0.9691
10000,0.084498,0.000125,0.9692
11000,0.084357,0.000114,0.9692
12000,0.084235,0.000104,0.9691
13000,0.084129,0.000096,0.9690
14000,0.084035,0.000090,0.9690
15000,0.083951,0.000084,0.9691
16000,0.083876,0.000078,0.9692
17000,0.083808,0.000074,0.9693
18000,0.083746,0.000070,0.9694
19000,0.083689,0.000066,0.9694
